,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts
Ormskirk Advertiser,0.0,5.0,0.0,5.0,1331.0,1081.0,473.0,0.0,0.0,408.0,2892.0,1301.0,0.0
Oxford Mail,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2685.0,19660.0,23085.0,1799.0
PR Newswire,0.0,0.0,0.0,0.0,1459.0,0.0,0.0,0.0,9.0,3318.0,817.0,0.0,0.0
Paisley Daily Express,0.0,0.0,0.0,0.0,130.0,3633.0,10499.0,0.0,32.0,4576.0,0.0,0.0,0.0
Pendle Today,0.0,0.0,0.0,1.0,9892.0,5.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0
Peterborough Evening Telegraph,0.0,0.0,0.0,0.0,10737.0,4.0,0.0,0.0,30.0,8252.0,1873.0,0.0,0.0
Petersfield Post,0.0,1.0,1.0,1.0,3.0,11.0,5.0,4.0,9.0,5.0,4128.0,1185.0,0.0
Plymouth Herald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3344.0,0.0,0.0
Preston Citizen,0.0,0.0,0.0,12.0,1850.0,332.0,13.0,25.0,94.0,101.0,206.0,44.0,0.0
Reading Post,0.0,0.0,0.0,0.0,1.0,3089.0,7072.0,0.0,0.0,2090.0,2159.0,3688.0,23.0
Redhill and Reigate Life,0.0,0.0,0.0,0.0,1055.0,0.0,0.0,0.0,0.0,360.0,881.0,908.0,5.0
Retford Guardian,0.0,0.0,0.0,6.0,750.0,0.0,0.0,0.0,0.0,2136.0,1549.0,0.0,0.0
Reuters AlertNet,0.0,0.0,0.0,1.0,4768.0,27947.0,24484.0,12705.0,4151.0,11593.0,5795.0,0.0,0.0
Richmond and Twickenham Times,0.0,0.0,0.0,0.0,2546.0,0.0,0.0,0.0,2.0,1715.0,603.0,829.0,0.0
Ripley & Heanor News,0.0,0.0,0.0,0.0,641.0,0.0,0.0,0.0,7.0,942.0,1729.0,0.0,0.0
